6,Кузнецова Марина,36,13563
7,Крылова Николай,67,57394
9,Воробьев Лука,58,38278
10,Игнатьев Матвей,40,12406
11,Воробьев Лука,61,12490
14,Шевцова Матвей,48,45863
17,Орлов Таисия,39,45042
18,Кузнецова Яна,60,32525
29,Дмитриев Рустам,36,11668
31,Гуров Игорь,34,52881
32,Михайлов Семён,67,44086
34,Зайцева Алексей,56,30804
38,Серова Елизавета,31,16072
40,Косарев Екатерина,31,36781
43,Афанасьев Владимир,37,42021
45,Михайлов Александр,56,27607
48,Иванова Семён,49,29867
49,Фирсов Виктор,52,49814
54,Кузнецов Рустам,36,32107
56,Синицын Андрей,36,57109
57,Михайлов Мария,58,25627
60,Прохорова София,50,10916
65,Окулов Илья,57,48777
66,Зиновьев Вероника,76,38147
67,Иванова Вероника,52,53008
70,Родионова Валерия,35,33442
74,Жуков Ангелина,77,38386
75,Сергеева Николай,61,47015
77,Окулов Роберт,42,35213
80,Орлова Вадим,70,24078
85,Зиновьев Виктор,36,30637
87,Соколов Эмилия,60,33425
88,Постников Григорий,44,28621
